analysis_id,390m006788qqnrn
gene_accession_id,MGI:1914561
parameter_name,Eye
gene_symbol,Nanp
parameter_id,M-G-P_014_001_001
mouse_strain,C57BL
mouse_life_stage,E18.5
pvalue,0.3467642
