parameter_name,Glucose
pvalue,0.3046819
parameter_id,HMGULA_CBC_018_001
gene_symbol,Amigo1
gene_accession_id,MGI:2653612
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,9r9rn96c8fb9j01
