analysis_id,1x20pey5dg146ns
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cpa3
parameter_id,IMPC_IMM_005_002
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
gene_accession_id,MGI:88479
pvalue,0.5931344
