analysis_id,016uan38hf4xvgm
gene_accession_id,MGI:2140475
Mouse_strain,C57BL
Parameter_id,IMPC_IMM_051_001
Pvalue,0.2846271
parameter_name,Monocytes
Mouse_life_stage,Early adult
gene_symbol,AU040320
