mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446186
mouse_strain,C57BL
parameter_name,Limb coat/hair presence
analysis_id,5eq5a9aj55nt23k
pvalue,0.632207
parameter_id,MGP_CSD_030_001
gene_symbol,Lpgat1
