mouse_strain,129SV
parameter_name,Body weight
gene_accession_id,MGI:1918025
parameter_id,M-G-P_009_001_003
pvalue,0.1446966
mouse_life_stage,Early adult
gene_symbol,Zmynd8
analysis_id,960jl08ofzhtct0
