analysis_id,05y1y5cisw0pb09
mouse_life_stage,Early adult
gene_accession_id,MGI:2444777
mouse_strain,C57BL
parameter_id,JAXLA_CSD_041_002
parameter_name,Hindpaw - size
pvalue,0.1456457
gene_symbol,Ncaph
