parameter_name,Magnesium
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
analysis_id,2vsk256i27v32fo
parameter_id,M-G-P_025_001_030
mouse_strain,C57BL
pvalue,0.8200787
