analysis_id,r8562k95aha613b
gene_accession_id,MGI:3616086
gene_symbol,Kcng1
parameter_id,IMPC_CBC_012_001
mouse_life_stage,Early adult
parameter_name,Aspartate aminotransferase
pvalue,0.4003447
mouse_strain,C57BL
