parameter_name,Percent time in light
mouse_life_stage,Middle aged adult
pvalue,0.2302216
parameter_id,IMPC_LDT_008_001
analysis_id,8nou2zrl15u3f8d
gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_strain,C57BL
