analysis_id,5h1h6pl3k2m75o1
gene_symbol,Mov10
mouse_life_stage,Early adult
gene_accession_id,MGI:97054
mouse_strain,C57BL
parameter_name,DN CD44+CD62L+ NKT cells
parameter_id,IMPC_IMM_047_001
pvalue,0.9269418
