gene_symbol,Atf3
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
parameter_id,MGP_MLN_005_001
gene_accession_id,MGI:109384
pvalue,0.1005484
analysis_id,j7ws45apc9pl5b3
mouse_strain,C57BL
