analysis_id,o2a3c78wecw0745
mouse_life_stage,E9.5
pvalue,0.3466405
parameter_id,MGP_IMM_014_001
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_strain,C57BL
gene_symbol,Orc2
gene_accession_id,MGI:1328306
