parameter_name,Distance travelled - total
pvalue,0.2641362
gene_symbol,Tbl1xr1
parameter_id,IMPC_OFD_020_001
gene_accession_id,MGI:2441730
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,m2y5fq3jjv8qb58
