analysis_id,8w60n799cc3m3xz
parameter_id,IMPC_GEL_027_001
pvalue,0.5599465
gene_accession_id,MGI:1919137
gene_symbol,Ppm1j
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Neural tube closure
