parameter_name,Whole arena average speed
analysis_id,f06gtzy4v09x311
gene_symbol,Lurap1
mouse_strain,C57BL
pvalue,0.6485651
gene_accession_id,MGI:1915325
mouse_life_stage,Early adult
parameter_id,JAX_OFD_009_001
