analysis_id,6yzkjv1xf772845
gene_symbol,Gpbp1l1
gene_accession_id,MGI:1924360
mouse_strain,C57BL
parameter_name,Fusion of vertebrae
parameter_id,M-G-P_006_001_026
mouse_life_stage,Early adult
pvalue,0.1203388
