parameter_name,CV
mouse_strain,C57BL
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
pvalue,0.8554149
mouse_life_stage,E12.5
parameter_id,IMPC_ECG_003_001
analysis_id,4sp7u07t1w7z1it
