parameter_name,Ly6Clow monocyte number
parameter_id,MGP_PBI_038_001
gene_accession_id,MGI:2444113
mouse_life_stage,Early adult
analysis_id,05ga1h70t7m10v4
gene_symbol,Nemp2
pvalue,0.2479434
mouse_strain,C57BL
