parameter_name,Lens
mouse_strain,C57BL
parameter_id,IMPC_EYE_016_001
mouse_life_stage,Early adult
gene_accession_id,MGI:3045306
gene_symbol,Exd1
pvalue,0.444282
analysis_id,j35082cc2t2y9m0
