gene_symbol,Bach2
analysis_id,04tl3l85k75p089
gene_accession_id,MGI:894679
parameter_id,IMPC_CBC_004_001
mouse_life_stage,Early adult
parameter_name,Urea (Blood Urea Nitrogen - BUN)
pvalue,0.08751182
mouse_strain,C57BL
