analysis_id,6206t5n02c14956
mouse_strain,C57BL
parameter_id,MGP_PBI_034_001
pvalue,1.442734
gene_accession_id,MGI:1913284
parameter_name,B cell number
gene_symbol,Psmd14
mouse_life_stage,Early adult
