gene_symbol,Nemp2
gene_accession_id,MGI:2444113
parameter_name,Coat - color pattern - back
mouse_life_stage,Early adult
pvalue,0.05209293
analysis_id,kxoc3y97860xv4o
mouse_strain,C57BL
parameter_id,HRWLLA_CSD_008_001
