pvalue,5.199591e-06
mouse_strain,C57BL
gene_symbol,Psd4
analysis_id,20pr93ob0r6m21j
mouse_life_stage,Early adult
parameter_id,IMPC_GRS_009_001
gene_accession_id,MGI:2674093
parameter_name,Forelimb and hindlimb grip strength measurement mean
