analysis_id,56a17b3upep0lx8
parameter_name,KLRG1+ Treg cells - % of CD45+
gene_accession_id,MGI:1920344
pvalue,0.7880746
mouse_strain,C57BL
parameter_id,MGP_IMM_079_001
gene_symbol,Sgip1
mouse_life_stage,Early adult
