analysis_id,1ilhj4071j7oz1h
gene_symbol,Cds2
gene_accession_id,MGI:1332236
pvalue,0.1813274
mouse_life_stage,Early adult
parameter_name,cDCs CD11b Type
parameter_id,IMPC_IMM_073_001
mouse_strain,C57BL
