parameter_id,ESLIM_004_001_701
analysis_id,84j5778p14docc8
parameter_name,Glucose response AUC
gene_accession_id,MGI:1921442
gene_symbol,Arpc5l
pvalue,0.08867448
mouse_strain,C57BL
mouse_life_stage,Early adult
