analysis_id,1mmx34z761mo89r
parameter_id,IMPC_IMM_051_001
mouse_life_stage,Early adult
parameter_name,Monocytes
gene_accession_id,MGI:1916363
pvalue,0.9965733
gene_symbol,Alkbh3
mouse_strain,C57BL
