analysis_id,3z7h2oh314k8s62
mouse_strain,C57BL
gene_symbol,Hspa5
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_036_001
parameter_name,% Pre-pulse inhibition - PPI4
gene_accession_id,MGI:95835
pvalue,0.8416162
