parameter_name,Whole arena average speed
mouse_life_stage,Early adult
gene_symbol,Npbwr1
pvalue,0.05151987
mouse_strain,C57BL
analysis_id,mg27717y659w06e
gene_accession_id,MGI:891989
parameter_id,JAXLA_OFD_009_001
