gene_symbol,Rufy4
analysis_id,8l81rj0q985y445
pvalue,0.6920734
gene_accession_id,MGI:3588214
parameter_id,MGP_MLN_009_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Effector Treg cells - % of Treg
