parameter_name,Hemorrhage
pvalue,0.6133982
analysis_id,pj3pyzgrn4ldp3n
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
gene_symbol,Ppm1j
mouse_strain,C57BL
parameter_id,IMPC_GEO_009_002
