analysis_id,k62p669q6h8w739
mouse_life_stage,Late adult
pvalue,0.478292
mouse_strain,C53BL
gene_accession_id,MGI:1915062
gene_symbol,Ubxn4
parameter_id,MGP_PBI_015_001
parameter_name,IgD+ mature B cell percentage
