gene_symbol,Lime1
parameter_name,Fat mass
pvalue,0.9905996
gene_accession_id,MGI:1919949
mouse_strain,C57BL
analysis_id,39393czkdjb8wwc
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_002_001
