analysis_id,o8pn076568s080o
parameter_name,Lean mass
mouse_strain,C57BL
gene_symbol,Eprs1
parameter_id,IMPC_DXA_003_001
pvalue,0.1934238
gene_accession_id,MGI:97838
mouse_life_stage,E12.5
