parameter_id,JAX_URI_002_001
gene_accession_id,MGI:2651854
pvalue,0.684969
mouse_life_stage,Early adult
analysis_id,h8dxim5b1484szv
mouse_strain,C57BL
parameter_name,Creatinine
gene_symbol,Atg4c
