parameter_id,MGP_BMI_014_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
gene_symbol,Morn5
analysis_id,f79z67rdq9247o2
mouse_strain,C57BL
pvalue,0.9105097
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
