gene_symbol,Pex19
mouse_life_stage,Early adult
gene_accession_id,MGI:1334458
mouse_strain,C57BL
pvalue,0.5227673
analysis_id,5h98z167rb050n3
parameter_name,Total ab T cells - % of CD45+
parameter_id,MGP_IMM_070_001
