gene_symbol,Tatdn3
parameter_id,M-G-P_026_001_004
pvalue,0.8195191
analysis_id,h20m2m154s4u1c1
parameter_name,Coat colouration
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916222
