parameter_id,IMPC_CAL_008_001
pvalue,0.2400521
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,m48119c0n892e4b
gene_accession_id,MGI:104848
parameter_name,Total food intake
gene_symbol,Inpp1
