analysis_id,u837640p84972p1
mouse_strain,C57BL
pvalue,0.2337447
mouse_life_stage,Early adult
parameter_name,Center average speed
parameter_id,IMPC_OFD_017_001
gene_accession_id,MGI:1914515
gene_symbol,Slc39a10
