parameter_name,Weight
mouse_life_stage,Early adult
pvalue,0.5330013
mouse_strain,C57BL
parameter_id,CCP_LFO_001_001
gene_accession_id,MGI:1913284
gene_symbol,Psmd14
analysis_id,2g974jrb2y7x18m
