analysis_id,c2br17e51vjt9lj
mouse_life_stage,Early adult
gene_accession_id,MGI:1923959
parameter_id,HRWLLA_OFD_013_001
gene_symbol,Arpc2
pvalue,0.9715841
parameter_name,Periphery average speed
mouse_strain,C57BL
