parameter_id,M-G-P_013_001_001
pvalue,0.3907529
parameter_name,Eye
mouse_life_stage,Early adult
analysis_id,8uxoxe69dz6404p
mouse_strain,C57BL
gene_symbol,Cds2
gene_accession_id,MGI:1332236
