parameter_name,QT
gene_symbol,Arpc2
analysis_id,v40d2sv37iw85n7
parameter_id,IMPC_ECG_028_001
mouse_strain,129SV
pvalue,0.9862079
gene_accession_id,MGI:1923959
mouse_life_stage,Early adult
