gene_symbol,AU040320
mouse_life_stage,Middle aged adult
parameter_name,HDL-cholesterol
parameter_id,IMPC_CBC_016_001
analysis_id,852dvn19x1d5wy2
gene_accession_id,MGI:2140475
pvalue,0.6344792
mouse_strain,C53BL
