analysis_id,73ol4d644163e7p
mouse_life_stage,Early adult
gene_symbol,Tox
mouse_strain,C57BL
parameter_name,Clavicle
gene_accession_id,MGI:2181659
pvalue,0.2647665
parameter_id,IMPC_XRY_007_001
