analysis_id,3s2c07813wtn0i4
pvalue,0.07187372
parameter_name,Limb coat/hair presence
gene_accession_id,MGI:88174
parameter_id,MGP_CSD_030_001
mouse_strain,C57BL
gene_symbol,Bmi1
mouse_life_stage,Early adult
