analysis_id,1cm9434wc15k562
mouse_life_stage,Early adult
gene_symbol,Wars2
gene_accession_id,MGI:1917810
pvalue,0.2002854
parameter_name,Retina (combined)
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_002
