gene_symbol,Casq1
gene_accession_id,MGI:1309468
mouse_strain,C57BL
analysis_id,q074w4xj2ugs799
pvalue,0.1228552
parameter_id,IMPC_ACS_036_001
parameter_name,% Pre-pulse inhibition - PPI4
mouse_life_stage,Early adult
