analysis_id,2z7t14jy3b9r1h6
pvalue,0.3495335
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
parameter_id,IMPC_XRY_027_001
mouse_strain,C57BL
parameter_name,Joints
gene_symbol,Frmpd1
