analysis_id,851p098s3g9q5h6
mouse_strain,C57BL
pvalue,0.7062344
mouse_life_stage,Early adult
parameter_id,IMPC_GEP_017_001
gene_symbol,AU040320
parameter_name,Facial Morphology
gene_accession_id,MGI:2140475
