gene_symbol,Kdm4c
parameter_name,CD103+ CD11b-low cDC - % of CD45+
mouse_strain,C57BL
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
parameter_id,MGP_IMM_131_001
analysis_id,409pla663a1oex1
pvalue,0.8009488
