analysis_id,ba4b952488e9991
pvalue,0.2337692
parameter_id,HMGULA_HWT_008_001
gene_accession_id,MGI:88380
gene_symbol,F2
parameter_name,Heart weight
mouse_strain,C57BL
mouse_life_stage,Early adult
