gene_symbol,Steap3
gene_accession_id,MGI:1915678
parameter_name,Midbrain
parameter_id,IMPC_GEL_029_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5596646
analysis_id,sr4ro79oo0ebr2m
