analysis_id,t55j372sta7o900
mouse_strain,C57BL
gene_accession_id,MGI:97838
mouse_life_stage,E12.5
parameter_name,Blood Vessel Morphology
gene_symbol,Eprs1
parameter_id,IMPC_GEO_011_001
pvalue,0.4983414
