analysis_id,q9b2p67qh61zld7
mouse_life_stage,Late adult
gene_accession_id,MGI:2140475
pvalue,0.7575059
parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
gene_symbol,AU040320
parameter_name,Total food intake
