Gene_symbol,Golm2
Gene_accession_id,MGI:2443129
Parameter_name,Potassium
Analysis_id,071323u606zm894
Parameter_id,GMC_906_001_005
Mouse_life_stage,Early adult
Pvalue,0.316486
Mouse_strain,C57BL
