gene_symbol,Frmpd1
pvalue,0.1387947
parameter_name,Basophil differential count
mouse_life_stage,Late adult
parameter_id,IMPC_HEM_038_001
mouse_strain,C57BL
analysis_id,hys9ob4964u59s3
gene_accession_id,MGI:2446274
