analysis_id,796p336nt54l44h
pvalue,0.08464611
mouse_life_stage,E12.5
parameter_id,IMPC_XRY_002_001
mouse_strain,C57BL
gene_symbol,Ahcy
gene_accession_id,MGI:87968
parameter_name,Zygomatic bone
