gene_symbol,Eprs1
pvalue,0.3422578
parameter_id,MGP_PBI_004_001
mouse_strain,C57BL
gene_accession_id,MGI:97838
analysis_id,4t31q909w53ts25
mouse_life_stage,E9.5
parameter_name,CD8+ alpha beta T cell percentage
