gene_symbol,Inpp1
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,IMPC_DXA_004_001
mouse_strain,129SV
mouse_life_stage,Early adult
analysis_id,b01is6h6418xb1c
gene_accession_id,MGI:104848
pvalue,0.8857038
