gene_symbol,Ubxn11
pvalue,0.6620696
parameter_name,Snout size
gene_accession_id,MGI:1914836
analysis_id,34v97m14m25740h
parameter_id,IMPC_CSD_028_001
mouse_life_stage,Early adult
mouse_strain,C57BL
