gene_symbol,Mecom
gene_accession_id,MGI:95457
parameter_id,IMPC_CSD_033_001
parameter_name,Gait
pvalue,0.2333188
analysis_id,0nswqc8oavu77nn
mouse_life_stage,Early adult
mouse_strain,C3H
